"lobbyistname","lobbyistlastname","lobbyistfirstname","lobbyistfirmname","lobbyistzip","primarylobbyistid","annuallobbyistregistrationid","billnumber","billinformation","clientname","clientzip","position","reportmonth","reportduedate","fiscalyear","rundate"
"Wood, Andrew T.","Wood","Andrew",,"80203","20255090916","20255090916","SB26-051","Age Attestation on Computing Devices","TechNet","95054","Monitoring 02/24/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Kester, Steven","Kester","Steven",,"94965","20265002698","20265002698","SB26-051","Age Attestation on Computing Devices","Apple Inc.","94965","Amending 02/28/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"GOFF, ERIN E (HB Strategies)","GOFF","ERIN","HB Strategies","80202","20105000068","20255095166","SB26-051","Age Attestation on Computing Devices","Motion Picture Association of America -(MPAA)","20006","Opposing 02/19/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Wick, Karen (Swift Strategies LLC)","Wick","Karen","Swift Strategies LLC","80238","20205000471","20255088874","SB26-051","Age Attestation on Computing Devices","Blue Rising","80027","Amending 02/20/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"VORTHMANN, GARIN (Colorado Legislative Strategies)","VORTHMANN","GARIN","Colorado Legislative Strategies","80203","20075005540","20255091139","SB26-051","Age Attestation on Computing Devices","TechNet","95814","Monitoring 03/02/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Cook, Mariah Catherine (Sewald Hanfling Public Affairs)","Cook","Mariah","Sewald Hanfling Public Affairs","80204","20185000767","20255088144","SB26-051","Age Attestation on Computing Devices","Colorado Technology Association","80250","Amending 02/11/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Sewald Hanfling Public Affairs",,,"Sewald Hanfling Public Affairs","80204","20175030544","20255085108","SB26-051","Age Attestation on Computing Devices","Roblox","94403","Monitoring 03/10/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Rosen, Elisabeth J (Political Advocacy, Inc)","Rosen","Elisabeth","Political Advocacy, Inc","80203","20105014332","20255085164","SB26-051","Age Attestation on Computing Devices","COLORADO ASSOCIATION OF SCHOOL EXECUTIVES","80110","Opposing 03/09/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Green Turner, Joan Andrew (J. Andrew Green & Assoc., Inc.) (J. Andrew Green & Assoc., Inc.)","Green Turner","Joan Andrew","J. Andrew Green & Assoc., Inc.","80126","19917000039","20255088821","SB26-051","Age Attestation on Computing Devices","MPAA (Motion Picture Association of America)","20006","Amending 02/06/2026 to 02/19/2026, Opposing 02/19/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Sewald Hanfling Public Affairs",,,"Sewald Hanfling Public Affairs","80204","20175030544","20255085108","SB26-051","Age Attestation on Computing Devices","Colorado Technology Association","80250","Amending 02/11/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Peetz, Elizabeth A","Peetz","Elizabeth",,"80112","20175003737","20255096642","SB26-051","Age Attestation on Computing Devices","Comcast","80112","Amending 02/04/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Coleman, Timothy (Coleman Legislative Advocacy LLC)","Coleman","Timothy","Coleman Legislative Advocacy LLC","80033","20245091694","20255085916","SB26-051","Age Attestation on Computing Devices","Elevate Fiber","81401","Monitoring 02/26/2026 to Ongoing, Monitoring 02/26/2026 to Ongoing","May","2026-06-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Schultz, Eliza J (Schultz Public Affairs, LLC)","Schultz","Eliza","Schultz Public Affairs, LLC","80134","20095011056","20255090328","SB26-051","Age Attestation on Computing Devices","Blue Rising","80027","Amending 02/20/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Colorado Legislative Strategies",,,"Colorado Legislative Strategies","80203","20025002196","20255091147","SB26-051","Age Attestation on Computing Devices","Stride, Inc.","20171","Amending 02/06/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
