"lobbyistname","lobbyistlastname","lobbyistfirstname","lobbyistfirmname","lobbyistzip","primarylobbyistid","annuallobbyistregistrationid","billnumber","billinformation","clientname","clientzip","position","reportmonth","reportduedate","fiscalyear","rundate"
"Headwaters Strategies",,,"Headwaters Strategies","80264","20095007203","20255089843","SB26-051","Age Attestation on Computing Devices","Meta Platforms, Inc","78701","Monitoring 02/12/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Martinez, Vanessa Hope","Martinez","Vanessa",,"80204","20255012059","20255087750","SB26-051","Age Attestation on Computing Devices","Colorado Organization for Latina Opportunity and Reproductive Rights (COLOR)","80204","Monitoring 02/02/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"LAYTON, MELANIE M. (Colorado Legislative Strategies)","LAYTON","MELANIE","Colorado Legislative Strategies","80203","20025002192","20255091131","SB26-051","Age Attestation on Computing Devices","Stride, Inc.","20171","Amending 02/06/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Singer, Jonathan S","Singer","Jonathan",,"80302","20245009168","20255095355","SB26-051","Age Attestation on Computing Devices","The Boulder Chamber","80302","Monitoring 02/01/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"MCKENNA, JULIE (BRANDEBERRY MCKENNA PUBLIC AFFAIRS)","MCKENNA","JULIE","BRANDEBERRY MCKENNA PUBLIC AFFAIRS","80203","19927000552","20255087658","SB26-051","Age Attestation on Computing Devices","Comcast","80112","Amending 02/18/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Stern, Ellen Steiner","Stern","Ellen",,"80011","20155001883","20265007202","SB26-051","Age Attestation on Computing Devices","Children's Hospital Colorado","80045","Monitoring 02/24/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Singer, Jonathan S","Singer","Jonathan",,"80302","20245009168","20255095355","SB26-051","Age Attestation on Computing Devices","The Boulder Chamber","80302","Monitoring 02/01/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"MARCHUN, MARY E (The Capstone Group, LLC)","MARCHUN","MARY","The Capstone Group, LLC","80246","20017000583","20255085155","SB26-051","Age Attestation on Computing Devices","Apple Inc","95014","Amending 02/08/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"BRANDEBERRY, JENIFER (BRANDEBERRY MCKENNA PUBLIC AFFAIRS)","BRANDEBERRY","JENIFER","BRANDEBERRY MCKENNA PUBLIC AFFAIRS","80203","19967000534","20255087697","SB26-051","Age Attestation on Computing Devices","Comcast","80112","Amending 02/18/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"CHASE, SCOTT M (Politicalworks, LLC)","CHASE","SCOTT","Politicalworks, LLC","80203","20075000173","20255087455","SB26-051","Age Attestation on Computing Devices","COMCAST CABLE COMPANY","80112","Amending 02/06/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Berry, Travis David (Politicalworks, LLC)","Berry","Travis","Politicalworks, LLC","80203","20025002254","20255087449","SB26-051","Age Attestation on Computing Devices","COMCAST","80112","Amending 02/06/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Neimond, Kevin (HB Strategies)","Neimond","Kevin","HB Strategies","80202","20245000965","20255095173","SB26-051","Age Attestation on Computing Devices","MPAA (Motion Picture Association of America)","20006","Opposing 02/19/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Nuechterlein, Samantha Anne (The Capstone Group, LLC)","Nuechterlein","Samantha","The Capstone Group, LLC","80264","20195000427","20255085153","SB26-051","Age Attestation on Computing Devices","The Kempe Foundation","80045","Monitoring 02/24/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Ordelheide, Melissa Beth (Siegel Long Public Affairs, LLC)","Ordelheide","Melissa","Siegel Long Public Affairs, LLC","80203","20215081687","20255088757","SB26-051","Age Attestation on Computing Devices","New Era","80204","Monitoring 02/04/2026 to Ongoing","April","2026-05-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"MARCHUN, MARY E (The Capstone Group, LLC)","MARCHUN","MARY","The Capstone Group, LLC","80246","20017000583","20255085155","SB26-051","Age Attestation on Computing Devices","Apple Inc","95014","Amending 02/08/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Woodhouse, Caroline (Colorado Legislative Strategies)","Woodhouse","Caroline","Colorado Legislative Strategies","80203","20225093050","20255091145","SB26-051","Age Attestation on Computing Devices","TechNet","95814","Monitoring 03/02/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Coleman, Timothy (Coleman Legislative Advocacy LLC)","Coleman","Timothy","Coleman Legislative Advocacy LLC","80033","20245091694","20255085916","SB26-051","Age Attestation on Computing Devices","Elevate Fiber","81401","Monitoring 02/26/2026 to Ongoing, Monitoring 02/26/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Kitts, Riley Jess (Colorado Children's Campaign)","Kitts","Riley","Colorado Children's Campaign","80290","20185030583","20255103219","SB26-051","Age Attestation on Computing Devices","Colorado Children's Campaign","80290","Supporting 02/03/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Teevan, Benjamin M (Cavan Consulting)","Teevan","Benjamin","Cavan Consulting","80205","20075002168","20255095684","SB26-051","Age Attestation on Computing Devices","TikTok U.S. Data Security Joint Venture","90230","Monitoring 02/10/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Fry, Logan (Brownstein Hyatt Farber Schreck, LLP)","Fry","Logan","Brownstein Hyatt Farber Schreck, LLP","80202","20245061853","20255089815","SB26-051","Age Attestation on Computing Devices","Entertainment Software Association","20001","Amending 02/20/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Fry, Logan (Brownstein Hyatt Farber Schreck, LLP)","Fry","Logan","Brownstein Hyatt Farber Schreck, LLP","80202","20245061853","20255089815","SB26-051","Age Attestation on Computing Devices","Entertainment Software Association","20001","Amending 02/20/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"VORTHMANN, GARIN (Colorado Legislative Strategies)","VORTHMANN","GARIN","Colorado Legislative Strategies","80203","20075005540","20255091139","SB26-051","Age Attestation on Computing Devices","Stride, Inc.","20171","Amending 02/06/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Newell, Kiyana Michelle (New Era Colorado)","Newell","Kiyana","New Era Colorado","80203","20235104385","20255096470","SB26-051","Age Attestation on Computing Devices","New Era Colorado","80203","Monitoring 02/04/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Enos, Colleen","Enos","Colleen",,"80107","20255000521","20255093417","SB26-051","Age Attestation on Computing Devices","Christian Home Educators of Colorado","80107","Monitoring 01/30/2026 to Ongoing","January","2026-02-17T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Mercer, Sarah (Brownstein Hyatt Farber Schreck, LLP)","Mercer","Sarah","Brownstein Hyatt Farber Schreck, LLP","80202","20145020590","20255089755","SB26-051","Age Attestation on Computing Devices","Entertainment Software Association","20001","Amending 02/20/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"HACKENBERGER, MICKI M (HB Strategies)","HACKENBERGER","MICKI","HB Strategies","80202","19927000120","20255095164","SB26-051","Age Attestation on Computing Devices","MOTION PICURE ASSOCIATION OF AMERICA","20006","Opposing 02/19/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20255092806","SB26-051","Age Attestation on Computing Devices","Meta Platforms, Inc","78701","Monitoring 02/12/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Brownstein Hyatt Farber Schreck, LLP",,,"Brownstein Hyatt Farber Schreck, LLP","80202","20225037115","20255089748","SB26-051","Age Attestation on Computing Devices","Entertainment Software Association","20001","Amending 02/20/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Headwaters Strategies",,,"Headwaters Strategies","80264","20095007203","20255089843","SB26-051","Age Attestation on Computing Devices","Meta Platforms, Inc","78701","Monitoring 02/12/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Barnes, Sarah","Barnes","Sarah",,"80290","20225086932","20255086102","SB26-051","Age Attestation on Computing Devices","Colorado Children's Campaign","80203","Supporting 02/03/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Wood, Jaedri Nichole","Wood","Jaedri",,"80203","20255104800","20255104800","SB26-051","Age Attestation on Computing Devices","Colorado Restaurant Association","80203","Monitoring 01/14/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
