"lobbyistname","lobbyistlastname","lobbyistfirstname","lobbyistfirmname","lobbyistzip","primarylobbyistid","annuallobbyistregistrationid","billnumber","billinformation","clientname","clientzip","position","reportmonth","reportduedate","fiscalyear","rundate"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20235076691","SB24-158","Social Media Protect Juveniles Disclosures Reports","Meta Platforms, Inc","78701","Amending 03/25/2024 to 06/30/2024","May","2024-06-17T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"EICHBERG, ADAM (Headwaters Strategies)","EICHBERG","ADAM","Headwaters Strategies","80264","20095007150","20235076695","HB24-1136","Healthier Social Media Use by Youth","Meta Platforms, Inc","78701","Amending 02/29/2024 to 06/30/2024","March","2024-04-15T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20235076688","SB24-041","Privacy Protections for Children's Online Data","Meta Platforms, Inc","78701","Monitoring 02/01/2024 to 06/30/2024","June","2024-07-15T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20255092806","HB26-1058","Protections for Minors Featured in Digital Content","Meta Platforms, Inc","78701","Amending 02/09/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Schmidt, Alyson (Headwaters Strategies)","Schmidt","Alyson","Headwaters Strategies","80264","20115004298","20255092795","HB26-1058","Protections for Minors Featured in Digital Content","Meta Platforms, Inc","78701","Amending 02/09/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20235076688","SB24-158","Social Media Protect Juveniles Disclosures Reports","Meta Platforms, Inc","78701","Amending 03/25/2024 to 06/30/2024","June","2024-07-15T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"Burkhart, Amber Janelle (Headwaters Strategies)","Burkhart","Amber","Headwaters Strategies","80264","20235028945","20255092807","SB26-051","Age Attestation on Computing Devices","Meta Platforms, Inc","78701","Monitoring 02/12/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Burkhart, Amber Janelle (Headwaters Strategies)","Burkhart","Amber","Headwaters Strategies","80264","20235028945","20235078454","HB24-1058","Protect Privacy of Biological Data","Meta Platforms, Inc","78701","Amending 02/26/2024 to 06/30/2024","April","2024-05-15T00:00:00.000","2023-2024","2026-03-13T00:00:00.000"
"Burkhart, Amber Janelle (Headwaters Strategies)","Burkhart","Amber","Headwaters Strategies","80264","20235028945","20255092807","SB26-051","Age Attestation on Computing Devices","Meta Platforms, Inc","78701","Monitoring 02/12/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Burkhart, Amber Janelle (Headwaters Strategies)","Burkhart","Amber","Headwaters Strategies","80264","20235028945","20255092807","HB26-1058","Protections for Minors Featured in Digital Content","Meta Platforms, Inc","78701","Amending 02/09/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
